character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
112,"Iron Man 3 (2013)",NULL,NULL,"Ben Kingsley",NULL,NULL,NULL,"
Actor
Jester
","
Advanced Idea Mechanics (A.I.M.)
Ten Rings
",NULL,NULL,English,"Trevor Slattery",NULL,"The Mandarin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Drew Pearce
Shane Black
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,"The Eternals #9 (March 1977)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sprite,Sprite,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",Eternals,NULL,NULL,"Marvel Comics",NULL,EternalsDeviants,"PuckRobin GoodfellowColínPeter Frickin' Pan","Control over cosmic energy allowing energy blasts and invulnerability,Immortality,Vast psionic powers including telepathy, telekinesis, matter transmutation and illusion casting",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,"Obadiah Stane:Iron Man #163(Oct. 1982)Iron Monger:Iron Man #200(Nov. 1985)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Iron Monger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dennis O'Neil (writer)Luke McDonnell (artist)",Human,NULL,NULL,"Marvel Comics","Obadiah Stane","The ChessmenStane InternationalStark Industries","Iron Man, King","Genius-level intellectExperienced businessmanMaster strategistArmored suit grants:Superhuman strengthSuperhuman durabilityFlightRepulsorsChest laserComputer control",NULL,"Madame Masque",Earth-616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,"Iron Man No. 28 (August 1970)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Howard Stark","Howard Anthony Walter Stark[1]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Archie Goodwin (writer)Don Heck (artist)",Human,NULL,NULL,"Marvel Comics",NULL,"Stark Industries",NULL,"
Genius-level intellect
Highly proficient scientist, engineer, and businessperson
",NULL,NULL,Earth,"Iron ManCaptain America",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,"Iron Man #219(June 1987)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ghost,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"David MichelinieBob Layton",Human,NULL,NULL,"Marvel Comics",Unknown,"Roxxon Energy CorporationA.I.M.Thunderbolts","Phantasm, John Morley, Casper","
Skilled marksman
Brilliant inventor, tactician and computer hacker
Superb intellect
Battle suit grants:

Invisibility
Intangibility
Stealth technology
",NULL,NULL,Earth-616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,"Sgt. Fury and his Howling Commandos #5 (Jan 1964)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Baron Strucker",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (writer)Jack Kirby (artist)",NULL,NULL,NULL,"Marvel Comics","Wolfgang von Strucker","HydraGreat WheelPower Elite","Supreme Hydra, Grand Imperator of THEM, Don Guy Antonio Caballero, Emir Ali Bey, John Bronson, Sagittarius","
Skilled military strategist and spy
Master of disguise
Excellent actor
Exceptional hand to hand combatant, marksman and swordsman
High-level intellect
Enhanced strength and energy projection via Satan Claw
Healing factor and limited invulnerability via Death Spore virus in his blood
Repressed aging
",NULL,"Baron Helmut Zemo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,"Glorious PurposeLoki(2021)","
Sylvie Lushtonby Paul Cornell    Mark Brooks
","Michael Waldron","
Sophia Di Martino
Cailey Fleming (young; Loki season 1)
",NULL,NULL,NULL,NULL,NULL,"
Daggers and throwing knives
Enchantment
",NULL,Asgardian,Sylvie,"Sylvie Laufeydottir (born Loki)",NULL,NULL,Jotunheim,"Laufey (biological father)",NULL,NULL,"The Variant",NULL,NULL,NULL,"Frost Giant",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Genderfluid,NULL,NULL,NULL,NULL
119,"The Incredible Hulk vol. 2 #418 (June 1994)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Talos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Peter David (writer)Gary Frank (artist)",Skrull,NULL,NULL,"Marvel Comics",NULL,"United Front","Talos the UntamedTalos the TamedJonathan Richards","Super-strengthEnhanced durability.",NULL,NULL,"Tarnax IV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,"Fantastic Four #53 (July 1966)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,T'Chaka,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (writer)Jack Kirby (artist)",Human,NULL,NULL,"Marvel Comics",NULL,NULL,"Black Panther","Superhuman strength, speed, agility, stamina, durability, reflexes, and sensesExpert martial artist",NULL,NULL,Earth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,"As Minerva:Red Raven Comics #1 (August 1940)As Thena:The Eternals #5 (November 1976)As Corona:New Eternals: Apocalypse Now #1 (February 2000)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thena,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Martin A. BurnsteinJack Kirby",NULL,NULL,NULL,"Marvel Comics",Azura,"EternalsHeroes for HireStark International","Thena Eliot, Athena, Zura, Betty Sue Bialovsky, Prime Eternal","
Superhuman speed, strength, durability, and regeneration
Energy blasts
Flight
Illusion generation
Matter transmutation
Mind control
Telekinesis
Telepathy
Teleportation
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
